Player Name,Runs,Balls Faced,Strike Rate,Sixes,Fours,Threes,Twos,Ones,Dot Balls,Dismissals,Caught Out,Bowled,Run Out,LBW,Retired Hurt,Stumped,Caught and Bowled,Hit Wicket,Obstructed Field 
UA Birla,7.0,15.0,46.66666666666666,0.0,1.0,0.0,0.0,3.0,11.0,1.0,0,1,0,0,0,0,0,0,0
Parvez Rasool,17.0,20.0,85.0,0.0,1.0,0.0,1.0,11.0,7.0,2.0,1,0,0,0,0,0,1,0,0
Sandeep Sharma (1),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0
S Kaul,9.0,11.0,81.81818181818183,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0,0,0,0,0,0,0,0,0
Sachin Baby,122.0,89.0,137.07865168539323,5.0,9.0,0.0,12.0,32.0,31.0,6.0,2,0,2,1,0,0,1,0,0
PV Tambe,18.0,39.0,46.153846153846146,0.0,1.0,0.0,0.0,14.0,24.0,1.0,1,0,0,0,0,0,0,0,0
NM Coulter-Nile,38.0,40.0,95.0,2.0,3.0,0.0,1.0,12.0,22.0,4.0,1,2,0,1,0,0,0,0,0
CJ Anderson,379.0,284.0,133.45070422535213,21.0,32.0,1.0,19.0,84.0,127.0,12.0,8,2,1,0,0,1,0,0,0
NJ Maddinson,20.0,21.0,95.23809523809523,0.0,4.0,1.0,0.0,1.0,15.0,3.0,1,2,0,0,0,0,0,0,0
AR Patel,379.0,323.0,117.3374613003096,17.0,23.0,0.0,18.0,149.0,116.0,21.0,11,4,3,1,0,2,0,0,0
JJ Bumrah,9.0,15.0,60.0,0.0,1.0,0.0,0.0,5.0,9.0,2.0,1,0,1,0,0,0,0,0,0
JDS Neesham,42.0,46.0,91.30434782608695,1.0,3.0,0.0,7.0,10.0,25.0,3.0,3,0,0,0,0,0,0,0,0
TG Southee,47.0,33.0,142.42424242424244,2.0,3.0,0.0,5.0,13.0,10.0,4.0,2,1,1,0,0,0,0,0,0
MA Starc,96.0,98.0,97.95918367346935,0.0,10.0,0.0,9.0,38.0,41.0,6.0,4,1,1,0,0,0,0,0,0
